Distance Metric,Average Similarity,Genre Overlap@K,Keyword Overlap@K,Diversity@K,Catalog Coverage,Recommendation Coverage,Mean Distance,Median Distance,Distance Std,Composite Quality
cosine,0.43551675307750704,0.2498247619047619,0.03486824397824398,0.5466814525127411,0.11273333333333334,1.0,0.5644832253456116,0.7027382850646973,0.29756537079811096,0.3026450159639732
euclidean,0.3206493025481701,0.0855,0.011266666666666666,0.08654169392585755,0.019466666666666667,1.0,0.8023315668106079,1.0,0.39312559366226196,0.14650850998073817
manhattan,0.3185490296185017,0.09026666666666665,0.011266666666666668,0.0758032808303833,0.017133333333333334,1.0,3.1953356117635967,3.650460720062256,1.9314420023475418,0.14488265249103308
