Weight Configuration,Average Similarity,Genre Overlap@K,Keyword Overlap@K,Diversity@K,Catalog Coverage,Recommendation Coverage,Mean Distance,Median Distance,Distance Std,Composite Quality
equal,0.8208298998951912,0.27405761904761905,0.019483096141331434,0.1265412299633026,0.1076,1.0,0.17917008697986603,0.1728287637233734,0.10756263881921768,0.37573979249560235
metadata_emphasis,0.6804744760513306,0.46436095238095243,0.05741462533338695,0.21932699036598205,0.1116,1.0,0.3195255398750305,0.3050549328327179,0.2406168431043625,0.38658023071573094
narrative_emphasis,0.4976115093231201,0.3693161904761905,0.05049259146082676,0.4655760288238525,0.12826666666666667,1.0,0.5023884773254395,0.5752608180046082,0.2536931335926056,0.34078885564074
balanced,0.6610944109380246,0.45324761904761907,0.05002196540072701,0.22373405718803405,0.10713333333333333,1.0,0.33890560269355774,0.3649856746196747,0.19236616790294647,0.37631040262951626
