K,Average Similarity,Genre Overlap@K,Keyword Overlap@K,Diversity@K,Catalog Coverage,Recommendation Coverage,Mean Distance,Median Distance,Distance Std
5,0.46206948618888855,0.2590133333333333,0.04116,0.5174191424846649,0.0624,1.0,0.5379304885864258,0.6754251718521118,0.2916685938835144
10,0.43551675307750704,0.2498247619047619,0.03486824397824398,0.5466814525127411,0.11273333333333334,1.0,0.5644832253456116,0.7027382850646973,0.29756537079811096
15,0.41944907213846844,0.2457187301587302,0.03253635647004068,0.5510029854774475,0.15446666666666667,1.0,0.5805509090423584,0.721786379814148,0.3009912669658661
20,0.40805809896588324,0.24468476190476193,0.03059654085680402,0.5575268585681915,0.19353333333333333,1.0,0.5919418931007385,0.7365128993988037,0.3033190667629242
25,0.3993189818096161,0.24644419047619048,0.027422629510840037,0.5654623806476593,0.23173333333333335,1.0,0.6006810069084167,0.7480048537254333,0.3051939904689789
50,0.3725316579121351,0.24543238095238093,0.021749271367091802,0.5608304440975189,0.4004666666666667,1.0,0.6274683475494385,0.78392493724823,0.3110690712928772
