Representation,SVD Components,Vector Dimensions,Average Similarity,Genre Overlap@K,Keyword Overlap@K,Diversity@K,Catalog Coverage,Recommendation Coverage,Mean Distance,Median Distance,Distance Std,Composite Quality
Direct TF-IDF,0,4126,0.6804744760513306,0.46436095238095243,0.05741462533338695,0.21932699036598205,0.1116,1.0,0.3195255398750305,0.3050549328327179,0.2406168431043625,0.38658023071573094
TF-IDF + TruncatedSVD,100,100,0.9553318959236144,0.46756666666666663,0.05052950193597252,0.04699972701072693,0.14653333333333332,1.0,0.044668104499578476,0.018747687339782715,0.06849205493927002,0.4596886896787353
TF-IDF + TruncatedSVD,200,200,0.9114685702800751,0.46592,0.053904250544776856,0.0946840763092041,0.1434,1.0,0.08853144198656082,0.05051550269126892,0.10115591436624527,0.4515214611533623
TF-IDF + TruncatedSVD,300,300,0.875555770266056,0.4656609523809524,0.05623817351835501,0.1281846868991852,0.13986666666666667,1.0,0.12444423884153366,0.07955184578895569,0.12534472346305847,0.4440387144745255
TF-IDF + TruncatedSVD,500,500,0.8217877707839012,0.4651609523809524,0.05803834667852817,0.1676934769153595,0.13253333333333334,1.0,0.1782122254371643,0.12227106094360352,0.15753808617591858,0.4306729344568988
TF-IDF + TruncatedSVD,750,750,0.7771466129779816,0.4644809523809524,0.05855773467615145,0.18973093676567077,0.12566666666666668,1.0,0.222853422164917,0.17118927836418152,0.1842382401227951,0.4176353591352316
TF-IDF + TruncatedSVD,1000,1000,0.7469755580961704,0.46433428571428575,0.0587571615238136,0.2051847357749939,0.12053333333333334,1.0,0.25302445888519287,0.22967815399169922,0.20180630683898926,0.40889077848086197
